都道府県,性別,年齢階級,転出超過数,人口,転出超過率(%)
岩手県,女,0歳～4歳,23,18285,0.1258
岩手県,女,5歳～9歳,-4,22073,-0.0181
岩手県,女,10歳～14歳,-33,24326,-0.1357
岩手県,女,15歳～19歳,-670,25441,-2.6335
岩手県,女,20歳～24歳,-1360,20603,-6.601
岩手県,女,25歳～29歳,-307,22602,-1.3583
岩手県,女,30歳～34歳,-90,26083,-0.3451
岩手県,女,35歳～39歳,-2,31673,-0.0063
岩手県,女,40歳～44歳,-10,36595,-0.0273
岩手県,女,45歳～49歳,-47,39917,-0.1177
岩手県,女,50歳～54歳,-12,38085,-0.0315
岩手県,女,55歳～59歳,-15,39725,-0.0378
岩手県,女,60歳～64歳,4,43055,0.0093
岩手県,女,65歳～69歳,-14,49040,-0.0285
岩手県,女,70歳～74歳,-5,49261,-0.0102
岩手県,女,75歳～79歳,4,40675,0.0098
岩手県,女,80歳～84歳,-27,38687,-0.0698
岩手県,女,85歳～89歳,-12,32167,-0.0373
岩手県,女,90歳以上,-29,23650,-0.1226
宮城県,総数,0歳～4歳,-50,79154,-0.0632
宮城県,総数,5歳～9歳,-48,92066,-0.0521
宮城県,総数,10歳～14歳,25,97208,0.0257
宮城県,総数,15歳～19歳,780,109137,0.7147
宮城県,総数,20歳～24歳,-1307,112346,-1.1634
宮城県,総数,25歳～29歳,-1162,106679,-1.0892
宮城県,総数,30歳～34歳,-354,120945,-0.2927
宮城県,総数,35歳～39歳,-98,139891,-0.0701
宮城県,総数,40歳～44歳,-36,156261,-0.023
宮城県,総数,45歳～49歳,-127,168990,-0.0752
宮城県,総数,50歳～54歳,-85,146567,-0.058
宮城県,総数,55歳～59歳,-75,141164,-0.0531
宮城県,総数,60歳～64歳,102,144865,0.0704
宮城県,総数,65歳～69歳,84,161459,0.052
宮城県,総数,70歳～74歳,99,157967,0.0627
宮城県,総数,75歳～79歳,52,113819,0.0457
宮城県,総数,80歳～84歳,69,93054,0.0742
