種別,都道府県,年次,性別,年齢階級,人数
転入者数,京都市,2025年,総数,35歳～39歳,380
転入者数,京都市,2025年,総数,40歳～44歳,201
転入者数,京都市,2025年,総数,45歳～49歳,106
転入者数,京都市,2025年,総数,50歳～54歳,80
転入者数,京都市,2025年,総数,55歳～59歳,68
転入者数,京都市,2025年,総数,60歳～64歳,31
転入者数,京都市,2025年,総数,65歳～69歳,23
転入者数,京都市,2025年,総数,70歳～74歳,13
転入者数,京都市,2025年,総数,75歳～79歳,13
転入者数,京都市,2025年,総数,80歳～84歳,2
転入者数,京都市,2025年,総数,85歳～89歳,6
転入者数,京都市,2025年,総数,90歳以上,5
転入者数,京都市,2025年,男,総数,3569
転入者数,京都市,2025年,男,0歳～4歳,32
転入者数,京都市,2025年,男,5歳～9歳,11
転入者数,京都市,2025年,男,10歳～14歳,9
転入者数,京都市,2025年,男,15歳～19歳,319
転入者数,京都市,2025年,男,20歳～24歳,1217
転入者数,京都市,2025年,男,25歳～29歳,965
転入者数,京都市,2025年,男,30歳～34歳,497
転入者数,京都市,2025年,男,35歳～39歳,217
転入者数,京都市,2025年,男,40歳～44歳,120
転入者数,京都市,2025年,男,45歳～49歳,57
転入者数,京都市,2025年,男,50歳～54歳,39
転入者数,京都市,2025年,男,55歳～59歳,41
転入者数,京都市,2025年,男,60歳～64歳,17
転入者数,京都市,2025年,男,65歳～69歳,14
転入者数,京都市,2025年,男,70歳～74歳,5
転入者数,京都市,2025年,男,75歳～79歳,4
転入者数,京都市,2025年,男,80歳～84歳,1
転入者数,京都市,2025年,男,85歳～89歳,3
転入者数,京都市,2025年,男,90歳以上,1
転入者数,京都市,2025年,女,総数,2982
転入者数,京都市,2025年,女,0歳～4歳,23
転入者数,京都市,2025年,女,5歳～9歳,15
転入者数,京都市,2025年,女,10歳～14歳,11
転入者数,京都市,2025年,女,15歳～19歳,262
転入者数,京都市,2025年,女,20歳～24歳,1075
転入者数,京都市,2025年,女,25歳～29歳,844
転入者数,京都市,2025年,女,30歳～34歳,343
転入者数,京都市,2025年,女,35歳～39歳,163
転入者数,京都市,2025年,女,40歳～44歳,81
転入者数,京都市,2025年,女,45歳～49歳,49
転入者数,京都市,2025年,女,50歳～54歳,41
転入者数,京都市,2025年,女,55歳～59歳,27
転入者数,京都市,2025年,女,60歳～64歳,14
転入者数,京都市,2025年,女,65歳～69歳,9
転入者数,京都市,2025年,女,70歳～74歳,8
転入者数,京都市,2025年,女,75歳～79歳,9
転入者数,京都市,2025年,女,80歳～84歳,1
転入者数,京都市,2025年,女,85歳～89歳,3
転入者数,京都市,2025年,女,90歳以上,4
転入者数,大阪市,2025年,総数,総数,17630
転入者数,大阪市,2025年,総数,0歳～4歳,233
転入者数,大阪市,2025年,総数,5歳～9歳,147
転入者数,大阪市,2025年,総数,10歳～14歳,134
転入者数,大阪市,2025年,総数,15歳～19歳,765
転入者数,大阪市,2025年,総数,20歳～24歳,4976
転入者数,大阪市,2025年,総数,25歳～29歳,5401
転入者数,大阪市,2025年,総数,30歳～34歳,2758
転入者数,大阪市,2025年,総数,35歳～39歳,1341
転入者数,大阪市,2025年,総数,40歳～44歳,690
転入者数,大阪市,2025年,総数,45歳～49歳,424
転入者数,大阪市,2025年,総数,50歳～54歳,255
転入者数,大阪市,2025年,総数,55歳～59歳,188
転入者数,大阪市,2025年,総数,60歳～64歳,120
転入者数,大阪市,2025年,総数,65歳～69歳,57
転入者数,大阪市,2025年,総数,70歳～74歳,50
転入者数,大阪市,2025年,総数,75歳～79歳,37
転入者数,大阪市,2025年,総数,80歳～84歳,29
転入者数,大阪市,2025年,総数,85歳～89歳,11
転入者数,大阪市,2025年,総数,90歳以上,14
転入者数,大阪市,2025年,男,総数,9594
転入者数,大阪市,2025年,男,0歳～4歳,133
転入者数,大阪市,2025年,男,5歳～9歳,80
転入者数,大阪市,2025年,男,10歳～14歳,66
転入者数,大阪市,2025年,男,15歳～19歳,425
転入者数,大阪市,2025年,男,20歳～24歳,2625
転入者数,大阪市,2025年,男,25歳～29歳,2867
転入者数,大阪市,2025年,男,30歳～34歳,1544
転入者数,大阪市,2025年,男,35歳～39歳,846
転入者数,大阪市,2025年,男,40歳～44歳,392
転入者数,大阪市,2025年,男,45歳～49歳,233
転入者数,大阪市,2025年,男,50歳～54歳,141
転入者数,大阪市,2025年,男,55歳～59歳,102
転入者数,大阪市,2025年,男,60歳～64歳,58
転入者数,大阪市,2025年,男,65歳～69歳,29
転入者数,大阪市,2025年,男,70歳～74歳,28
転入者数,大阪市,2025年,男,75歳～79歳,13
転入者数,大阪市,2025年,男,80歳～84歳,9
転入者数,大阪市,2025年,男,85歳～89歳,3
転入者数,大阪市,2025年,男,90歳以上,0
転入者数,大阪市,2025年,女,総数,8036
転入者数,大阪市,2025年,女,0歳～4歳,100
転入者数,大阪市,2025年,女,5歳～9歳,67
転入者数,大阪市,2025年,女,10歳～14歳,68
転入者数,大阪市,2025年,女,15歳～19歳,340
転入者数,大阪市,2025年,女,20歳～24歳,2351
転入者数,大阪市,2025年,女,25歳～29歳,2534
転入者数,大阪市,2025年,女,30歳～34歳,1214
転入者数,大阪市,2025年,女,35歳～39歳,495
転入者数,大阪市,2025年,女,40歳～44歳,298
転入者数,大阪市,2025年,女,45歳～49歳,191
転入者数,大阪市,2025年,女,50歳～54歳,114
転入者数,大阪市,2025年,女,55歳～59歳,86
転入者数,大阪市,2025年,女,60歳～64歳,62
転入者数,大阪市,2025年,女,65歳～69歳,28
転入者数,大阪市,2025年,女,70歳～74歳,22
転入者数,大阪市,2025年,女,75歳～79歳,24
転入者数,大阪市,2025年,女,80歳～84歳,20
転入者数,大阪市,2025年,女,85歳～89歳,8
転入者数,大阪市,2025年,女,90歳以上,14
転入者数,堺市,2025年,総数,総数,2928
転入者数,堺市,2025年,総数,0歳～4歳,42
転入者数,堺市,2025年,総数,5歳～9歳,21
転入者数,堺市,2025年,総数,10歳～14歳,19
転入者数,堺市,2025年,総数,15歳～19歳,128
転入者数,堺市,2025年,総数,20歳～24歳,751
転入者数,堺市,2025年,総数,25歳～29歳,861
転入者数,堺市,2025年,総数,30歳～34歳,473
転入者数,堺市,2025年,総数,35歳～39歳,273
転入者数,堺市,2025年,総数,40歳～44歳,149
転入者数,堺市,2025年,総数,45歳～49歳,82
転入者数,堺市,2025年,総数,50歳～54歳,60
転入者数,堺市,2025年,総数,55歳～59歳,26
転入者数,堺市,2025年,総数,60歳～64歳,20
転入者数,堺市,2025年,総数,65歳～69歳,8
転入者数,堺市,2025年,総数,70歳～74歳,6
転入者数,堺市,2025年,総数,75歳～79歳,3
転入者数,堺市,2025年,総数,80歳～84歳,3
転入者数,堺市,2025年,総数,85歳～89歳,2
転入者数,堺市,2025年,総数,90歳以上,1
転入者数,堺市,2025年,男,総数,1810
転入者数,堺市,2025年,男,0歳～4歳,25
転入者数,堺市,2025年,男,5歳～9歳,12
転入者数,堺市,2025年,男,10歳～14歳,8
転入者数,堺市,2025年,男,15歳～19歳,77
転入者数,堺市,2025年,男,20歳～24歳,498
転入者数,堺市,2025年,男,25歳～29歳,518
転入者数,堺市,2025年,男,30歳～34歳,300
転入者数,堺市,2025年,男,35歳～39歳,180
転入者数,堺市,2025年,男,40歳～44歳,80
転入者数,堺市,2025年,男,45歳～49歳,49
転入者数,堺市,2025年,男,50歳～54歳,28
転入者数,堺市,2025年,男,55歳～59歳,14
転入者数,堺市,2025年,男,60歳～64歳,9
転入者数,堺市,2025年,男,65歳～69歳,6
転入者数,堺市,2025年,男,70歳～74歳,2
転入者数,堺市,2025年,男,75歳～79歳,2
転入者数,堺市,2025年,男,80歳～84歳,1
転入者数,堺市,2025年,男,85歳～89歳,1
転入者数,堺市,2025年,男,90歳以上,0
転入者数,堺市,2025年,女,総数,1118
転入者数,堺市,2025年,女,0歳～4歳,17
転入者数,堺市,2025年,女,5歳～9歳,9
転入者数,堺市,2025年,女,10歳～14歳,11
転入者数,堺市,2025年,女,15歳～19歳,51
転入者数,堺市,2025年,女,20歳～24歳,253
転入者数,堺市,2025年,女,25歳～29歳,343
転入者数,堺市,2025年,女,30歳～34歳,173
転入者数,堺市,2025年,女,35歳～39歳,93
転入者数,堺市,2025年,女,40歳～44歳,69
転入者数,堺市,2025年,女,45歳～49歳,33
転入者数,堺市,2025年,女,50歳～54歳,32
転入者数,堺市,2025年,女,55歳～59歳,12
転入者数,堺市,2025年,女,60歳～64歳,11
転入者数,堺市,2025年,女,65歳～69歳,2
転入者数,堺市,2025年,女,70歳～74歳,4
転入者数,堺市,2025年,女,75歳～79歳,1
転入者数,堺市,2025年,女,80歳～84歳,2
転入者数,堺市,2025年,女,85歳～89歳,1
転入者数,堺市,2025年,女,90歳以上,1
転入者数,神戸市,2025年,総数,総数,5207
転入者数,神戸市,2025年,総数,0歳～4歳,82
転入者数,神戸市,2025年,総数,5歳～9歳,64
転入者数,神戸市,2025年,総数,10歳～14歳,44
転入者数,神戸市,2025年,総数,15歳～19歳,326
転入者数,神戸市,2025年,総数,20歳～24歳,1778
転入者数,神戸市,2025年,総数,25歳～29歳,1349
転入者数,神戸市,2025年,総数,30歳～34歳,692
転入者数,神戸市,2025年,総数,35歳～39歳,373
転入者数,神戸市,2025年,総数,40歳～44歳,196
転入者数,神戸市,2025年,総数,45歳～49歳,113
転入者数,神戸市,2025年,総数,50歳～54歳,69
転入者数,神戸市,2025年,総数,55歳～59歳,42
転入者数,神戸市,2025年,総数,60歳～64歳,32
転入者数,神戸市,2025年,総数,65歳～69歳,13
転入者数,神戸市,2025年,総数,70歳～74歳,15
転入者数,神戸市,2025年,総数,75歳～79歳,7
転入者数,神戸市,2025年,総数,80歳～84歳,6
転入者数,神戸市,2025年,総数,85歳～89歳,3
転入者数,神戸市,2025年,総数,90歳以上,3
転入者数,神戸市,2025年,男,総数,2863
転入者数,神戸市,2025年,男,0歳～4歳,43
転入者数,神戸市,2025年,男,5歳～9歳,35
転入者数,神戸市,2025年,男,10歳～14歳,23
転入者数,神戸市,2025年,男,15歳～19歳,169
転入者数,神戸市,2025年,男,20歳～24歳,942
転入者数,神戸市,2025年,男,25歳～29歳,741
転入者数,神戸市,2025年,男,30歳～34歳,404
転入者数,神戸市,2025年,男,35歳～39歳,225
転入者数,神戸市,2025年,男,40歳～44歳,121
転入者数,神戸市,2025年,男,45歳～49歳,62
転入者数,神戸市,2025年,男,50歳～54歳,39
転入者数,神戸市,2025年,男,55歳～59歳,24
転入者数,神戸市,2025年,男,60歳～64歳,16
転入者数,神戸市,2025年,男,65歳～69歳,7
転入者数,神戸市,2025年,男,70歳～74歳,4
転入者数,神戸市,2025年,男,75歳～79歳,4
転入者数,神戸市,2025年,男,80歳～84歳,2
転入者数,神戸市,2025年,男,85歳～89歳,1
転入者数,神戸市,2025年,男,90歳以上,1
転入者数,神戸市,2025年,女,総数,2344
転入者数,神戸市,2025年,女,0歳～4歳,39
転入者数,神戸市,2025年,女,5歳～9歳,29
転入者数,神戸市,2025年,女,10歳～14歳,21
転入者数,神戸市,2025年,女,15歳～19歳,157
転入者数,神戸市,2025年,女,20歳～24歳,836
転入者数,神戸市,2025年,女,25歳～29歳,608
転入者数,神戸市,2025年,女,30歳～34歳,288
転入者数,神戸市,2025年,女,35歳～39歳,148
転入者数,神戸市,2025年,女,40歳～44歳,75
転入者数,神戸市,2025年,女,45歳～49歳,51
転入者数,神戸市,2025年,女,50歳～54歳,30
転入者数,神戸市,2025年,女,55歳～59歳,18
転入者数,神戸市,2025年,女,60歳～64歳,16
転入者数,神戸市,2025年,女,65歳～69歳,6
転入者数,神戸市,2025年,女,70歳～74歳,11
転入者数,神戸市,2025年,女,75歳～79歳,3
転入者数,神戸市,2025年,女,80歳～84歳,4
転入者数,神戸市,2025年,女,85歳～89歳,2
転入者数,神戸市,2025年,女,90歳以上,2
転入者数,岡山市,2025年,総数,総数,1606
転入者数,岡山市,2025年,総数,0歳～4歳,16
転入者数,岡山市,2025年,総数,5歳～9歳,4
転入者数,岡山市,2025年,総数,10歳～14歳,4
転入者数,岡山市,2025年,総数,15歳～19歳,173
転入者数,岡山市,2025年,総数,20歳～24歳,576
転入者数,岡山市,2025年,総数,25歳～29歳,384
転入者数,岡山市,2025年,総数,30歳～34歳,192
転入者数,岡山市,2025年,総数,35歳～39歳,128
転入者数,岡山市,2025年,総数,40歳～44歳,57
転入者数,岡山市,2025年,総数,45歳～49歳,24
転入者数,岡山市,2025年,総数,50歳～54歳,17
転入者数,岡山市,2025年,総数,55歳～59歳,10
転入者数,岡山市,2025年,総数,60歳～64歳,6
転入者数,岡山市,2025年,総数,65歳～69歳,7
転入者数,岡山市,2025年,総数,70歳～74歳,4
転入者数,岡山市,2025年,総数,75歳～79歳,3
転入者数,岡山市,2025年,総数,80歳～84歳,1
転入者数,岡山市,2025年,総数,85歳～89歳,0
転入者数,岡山市,2025年,総数,90歳以上,0
転入者数,岡山市,2025年,男,総数,909
転入者数,岡山市,2025年,男,0歳～4歳,7
転入者数,岡山市,2025年,男,5歳～9歳,1
転入者数,岡山市,2025年,男,10歳～14歳,4
転入者数,岡山市,2025年,男,15歳～19歳,96
転入者数,岡山市,2025年,男,20歳～24歳,332
転入者数,岡山市,2025年,男,25歳～29歳,231
転入者数,岡山市,2025年,男,30歳～34歳,107
転入者数,岡山市,2025年,男,35歳～39歳,63
転入者数,岡山市,2025年,男,40歳～44歳,31
転入者数,岡山市,2025年,男,45歳～49歳,13
転入者数,岡山市,2025年,男,50歳～54歳,10
転入者数,岡山市,2025年,男,55歳～59歳,6
転入者数,岡山市,2025年,男,60歳～64歳,3
転入者数,岡山市,2025年,男,65歳～69歳,3
転入者数,岡山市,2025年,男,70歳～74歳,1
転入者数,岡山市,2025年,男,75歳～79歳,0
転入者数,岡山市,2025年,男,80歳～84歳,1
転入者数,岡山市,2025年,男,85歳～89歳,0
転入者数,岡山市,2025年,男,90歳以上,0
転入者数,岡山市,2025年,女,総数,697
転入者数,岡山市,2025年,女,0歳～4歳,9
転入者数,岡山市,2025年,女,5歳～9歳,3
転入者数,岡山市,2025年,女,10歳～14歳,0
転入者数,岡山市,2025年,女,15歳～19歳,77
転入者数,岡山市,2025年,女,20歳～24歳,244
転入者数,岡山市,2025年,女,25歳～29歳,153
転入者数,岡山市,2025年,女,30歳～34歳,85
転入者数,岡山市,2025年,女,35歳～39歳,65
転入者数,岡山市,2025年,女,40歳～44歳,26
転入者数,岡山市,2025年,女,45歳～49歳,11
転入者数,岡山市,2025年,女,50歳～54歳,7
転入者数,岡山市,2025年,女,55歳～59歳,4
転入者数,岡山市,2025年,女,60歳～64歳,3
転入者数,岡山市,2025年,女,65歳～69歳,4
転入者数,岡山市,2025年,女,70歳～74歳,3
転入者数,岡山市,2025年,女,75歳～79歳,3
転入者数,岡山市,2025年,女,80歳～84歳,0
転入者数,岡山市,2025年,女,85歳～89歳,0
転入者数,岡山市,2025年,女,90歳以上,0
転入者数,広島市,2025年,総数,総数,2538
転入者数,広島市,2025年,総数,0歳～4歳,18
転入者数,広島市,2025年,総数,5歳～9歳,17
転入者数,広島市,2025年,総数,10歳～14歳,10
転入者数,広島市,2025年,総数,15歳～19歳,258
転入者数,広島市,2025年,総数,20歳～24歳,777
転入者数,広島市,2025年,総数,25歳～29歳,674
転入者数,広島市,2025年,総数,30歳～34歳,388
転入者数,広島市,2025年,総数,35歳～39歳,184
転入者数,広島市,2025年,総数,40歳～44歳,98
転入者数,広島市,2025年,総数,45歳～49歳,39
転入者数,広島市,2025年,総数,50歳～54歳,26
転入者数,広島市,2025年,総数,55歳～59歳,16
転入者数,広島市,2025年,総数,60歳～64歳,13
転入者数,広島市,2025年,総数,65歳～69歳,7
転入者数,広島市,2025年,総数,70歳～74歳,3
転入者数,広島市,2025年,総数,75歳～79歳,6
転入者数,広島市,2025年,総数,80歳～84歳,2
転入者数,広島市,2025年,総数,85歳～89歳,0
転入者数,広島市,2025年,総数,90歳以上,2
転入者数,広島市,2025年,男,総数,1445
転入者数,広島市,2025年,男,0歳～4歳,5
転入者数,広島市,2025年,男,5歳～9歳,9
転入者数,広島市,2025年,男,10歳～14歳,6
転入者数,広島市,2025年,男,15歳～19歳,115
転入者数,広島市,2025年,男,20歳～24歳,451
転入者数,広島市,2025年,男,25歳～29歳,401
転入者数,広島市,2025年,男,30歳～34歳,227
転入者数,広島市,2025年,男,35歳～39歳,110
転入者数,広島市,2025年,男,40歳～44歳,59
転入者数,広島市,2025年,男,45歳～49歳,21
転入者数,広島市,2025年,男,50歳～54歳,17
転入者数,広島市,2025年,男,55歳～59歳,8
転入者数,広島市,2025年,男,60歳～64歳,8
転入者数,広島市,2025年,男,65歳～69歳,4
転入者数,広島市,2025年,男,70歳～74歳,1
転入者数,広島市,2025年,男,75歳～79歳,2
転入者数,広島市,2025年,男,80歳～84歳,0
転入者数,広島市,2025年,男,85歳～89歳,0
転入者数,広島市,2025年,男,90歳以上,1
転入者数,広島市,2025年,女,総数,1093
転入者数,広島市,2025年,女,0歳～4歳,13
転入者数,広島市,2025年,女,5歳～9歳,8
転入者数,広島市,2025年,女,10歳～14歳,4
転入者数,広島市,2025年,女,15歳～19歳,143
転入者数,広島市,2025年,女,20歳～24歳,326
転入者数,広島市,2025年,女,25歳～29歳,273
転入者数,広島市,2025年,女,30歳～34歳,161
転入者数,広島市,2025年,女,35歳～39歳,74
転入者数,広島市,2025年,女,40歳～44歳,39
転入者数,広島市,2025年,女,45歳～49歳,18
転入者数,広島市,2025年,女,50歳～54歳,9
転入者数,広島市,2025年,女,55歳～59歳,8
転入者数,広島市,2025年,女,60歳～64歳,5
転入者数,広島市,2025年,女,65歳～69歳,3
転入者数,広島市,2025年,女,70歳～74歳,2
転入者数,広島市,2025年,女,75歳～79歳,4
転入者数,広島市,2025年,女,80歳～84歳,2
転入者数,広島市,2025年,女,85歳～89歳,0
転入者数,広島市,2025年,女,90歳以上,1
転入者数,北九州市,2025年,総数,総数,1900
転入者数,北九州市,2025年,総数,0歳～4歳,27
転入者数,北九州市,2025年,総数,5歳～9歳,12
転入者数,北九州市,2025年,総数,10歳～14歳,6
転入者数,北九州市,2025年,総数,15歳～19歳,178
転入者数,北九州市,2025年,総数,20歳～24歳,590
転入者数,北九州市,2025年,総数,25歳～29歳,481
転入者数,北九州市,2025年,総数,30歳～34歳,312
転入者数,北九州市,2025年,総数,35歳～39歳,133
転入者数,北九州市,2025年,総数,40歳～44歳,68
転入者数,北九州市,2025年,総数,45歳～49歳,39
転入者数,北九州市,2025年,総数,50歳～54歳,20
転入者数,北九州市,2025年,総数,55歳～59歳,11
転入者数,北九州市,2025年,総数,60歳～64歳,2
転入者数,北九州市,2025年,総数,65歳～69歳,12
転入者数,北九州市,2025年,総数,70歳～74歳,6
転入者数,北九州市,2025年,総数,75歳～79歳,2
転入者数,北九州市,2025年,総数,80歳～84歳,1
転入者数,北九州市,2025年,総数,85歳～89歳,0
転入者数,北九州市,2025年,総数,90歳以上,0
転入者数,北九州市,2025年,男,総数,1316
転入者数,北九州市,2025年,男,0歳～4歳,11
転入者数,北九州市,2025年,男,5歳～9歳,9
転入者数,北九州市,2025年,男,10歳～14歳,5
転入者数,北九州市,2025年,男,15歳～19歳,136
転入者数,北九州市,2025年,男,20歳～24歳,402
転入者数,北九州市,2025年,男,25歳～29歳,331
転入者数,北九州市,2025年,男,30歳～34歳,217
転入者数,北九州市,2025年,男,35歳～39歳,100
転入者数,北九州市,2025年,男,40歳～44歳,43
転入者数,北九州市,2025年,男,45歳～49歳,31
転入者数,北九州市,2025年,男,50歳～54歳,8
転入者数,北九州市,2025年,男,55歳～59歳,9
転入者数,北九州市,2025年,男,60歳～64歳,1
転入者数,北九州市,2025年,男,65歳～69歳,8
転入者数,北九州市,2025年,男,70歳～74歳,3
転入者数,北九州市,2025年,男,75歳～79歳,2
転入者数,北九州市,2025年,男,80歳～84歳,0
転入者数,北九州市,2025年,男,85歳～89歳,0
転入者数,北九州市,2025年,男,90歳以上,0
転入者数,北九州市,2025年,女,総数,584
転入者数,北九州市,2025年,女,0歳～4歳,16
転入者数,北九州市,2025年,女,5歳～9歳,3
転入者数,北九州市,2025年,女,10歳～14歳,1
転入者数,北九州市,2025年,女,15歳～19歳,42
転入者数,北九州市,2025年,女,20歳～24歳,188
転入者数,北九州市,2025年,女,25歳～29歳,150
転入者数,北九州市,2025年,女,30歳～34歳,95
転入者数,北九州市,2025年,女,35歳～39歳,33
転入者数,北九州市,2025年,女,40歳～44歳,25
転入者数,北九州市,2025年,女,45歳～49歳,8
転入者数,北九州市,2025年,女,50歳～54歳,12
転入者数,北九州市,2025年,女,55歳～59歳,2
転入者数,北九州市,2025年,女,60歳～64歳,1
転入者数,北九州市,2025年,女,65歳～69歳,4
転入者数,北九州市,2025年,女,70歳～74歳,3
転入者数,北九州市,2025年,女,75歳～79歳,0
転入者数,北九州市,2025年,女,80歳～84歳,1
転入者数,北九州市,2025年,女,85歳～89歳,0
転入者数,北九州市,2025年,女,90歳以上,0
転入者数,福岡市,2025年,総数,総数,4914
転入者数,福岡市,2025年,総数,0歳～4歳,50
転入者数,福岡市,2025年,総数,5歳～9歳,55
転入者数,福岡市,2025年,総数,10歳～14歳,36
転入者数,福岡市,2025年,総数,15歳～19歳,218
転入者数,福岡市,2025年,総数,20歳～24歳,1666
転入者数,福岡市,2025年,総数,25歳～29歳,1368
転入者数,福岡市,2025年,総数,30歳～34歳,671
転入者数,福岡市,2025年,総数,35歳～39歳,354
転入者数,福岡市,2025年,総数,40歳～44歳,188
転入者数,福岡市,2025年,総数,45歳～49歳,129
転入者数,福岡市,2025年,総数,50歳～54歳,69
転入者数,福岡市,2025年,総数,55歳～59歳,44
転入者数,福岡市,2025年,総数,60歳～64歳,26
転入者数,福岡市,2025年,総数,65歳～69歳,18
転入者数,福岡市,2025年,総数,70歳～74歳,9
転入者数,福岡市,2025年,総数,75歳～79歳,4
転入者数,福岡市,2025年,総数,80歳～84歳,5
転入者数,福岡市,2025年,総数,85歳～89歳,2
転入者数,福岡市,2025年,総数,90歳以上,2
転入者数,福岡市,2025年,男,総数,2696
転入者数,福岡市,2025年,男,0歳～4歳,24
転入者数,福岡市,2025年,男,5歳～9歳,32
転入者数,福岡市,2025年,男,10歳～14歳,18
転入者数,福岡市,2025年,男,15歳～19歳,104
転入者数,福岡市,2025年,男,20歳～24歳,870
転入者数,福岡市,2025年,男,25歳～29歳,769
転入者数,福岡市,2025年,男,30歳～34歳,384
転入者数,福岡市,2025年,男,35歳～39歳,221
転入者数,福岡市,2025年,男,40歳～44歳,114
転入者数,福岡市,2025年,男,45歳～49歳,80
転入者数,福岡市,2025年,男,50歳～54歳,28
転入者数,福岡市,2025年,男,55歳～59歳,22
転入者数,福岡市,2025年,男,60歳～64歳,12
転入者数,福岡市,2025年,男,65歳～69歳,6
転入者数,福岡市,2025年,男,70歳～74歳,6
転入者数,福岡市,2025年,男,75歳～79歳,2
転入者数,福岡市,2025年,男,80歳～84歳,2
転入者数,福岡市,2025年,男,85歳～89歳,2
転入者数,福岡市,2025年,男,90歳以上,0
転入者数,福岡市,2025年,女,総数,2218
転入者数,福岡市,2025年,女,0歳～4歳,26
転入者数,福岡市,2025年,女,5歳～9歳,23
転入者数,福岡市,2025年,女,10歳～14歳,18
転入者数,福岡市,2025年,女,15歳～19歳,114
転入者数,福岡市,2025年,女,20歳～24歳,796
転入者数,福岡市,2025年,女,25歳～29歳,599
転入者数,福岡市,2025年,女,30歳～34歳,287
転入者数,福岡市,2025年,女,35歳～39歳,133
転入者数,福岡市,2025年,女,40歳～44歳,74
転入者数,福岡市,2025年,女,45歳～49歳,49
転入者数,福岡市,2025年,女,50歳～54歳,41
転入者数,福岡市,2025年,女,55歳～59歳,22
転入者数,福岡市,2025年,女,60歳～64歳,14
転入者数,福岡市,2025年,女,65歳～69歳,12
転入者数,福岡市,2025年,女,70歳～74歳,3
転入者数,福岡市,2025年,女,75歳～79歳,2
転入者数,福岡市,2025年,女,80歳～84歳,3
転入者数,福岡市,2025年,女,85歳～89歳,0
転入者数,福岡市,2025年,女,90歳以上,2
転入者数,熊本市,2025年,総数,総数,1604
転入者数,熊本市,2025年,総数,0歳～4歳,18
転入者数,熊本市,2025年,総数,5歳～9歳,12
転入者数,熊本市,2025年,総数,10歳～14歳,6
転入者数,熊本市,2025年,総数,15歳～19歳,124
転入者数,熊本市,2025年,総数,20歳～24歳,531
転入者数,熊本市,2025年,総数,25歳～29歳,428
転入者数,熊本市,2025年,総数,30歳～34歳,244
転入者数,熊本市,2025年,総数,35歳～39歳,106
転入者数,熊本市,2025年,総数,40歳～44歳,58
転入者数,熊本市,2025年,総数,45歳～49歳,30
転入者数,熊本市,2025年,総数,50歳～54歳,21
転入者数,熊本市,2025年,総数,55歳～59歳,14
転入者数,熊本市,2025年,総数,60歳～64歳,4
転入者数,熊本市,2025年,総数,65歳～69歳,2
転入者数,熊本市,2025年,総数,70歳～74歳,3
転入者数,熊本市,2025年,総数,75歳～79歳,1
転入者数,熊本市,2025年,総数,80歳～84歳,1
転入者数,熊本市,2025年,総数,85歳～89歳,1
転入者数,熊本市,2025年,総数,90歳以上,0
転入者数,熊本市,2025年,男,総数,943
転入者数,熊本市,2025年,男,0歳～4歳,10
転入者数,熊本市,2025年,男,5歳～9歳,8
転入者数,熊本市,2025年,男,10歳～14歳,3
転入者数,熊本市,2025年,男,15歳～19歳,60
転入者数,熊本市,2025年,男,20歳～24歳,318
転入者数,熊本市,2025年,男,25歳～29歳,264
転入者数,熊本市,2025年,男,30歳～34歳,148
転入者数,熊本市,2025年,男,35歳～39歳,63
転入者数,熊本市,2025年,男,40歳～44歳,28
転入者数,熊本市,2025年,男,45歳～49歳,16
転入者数,熊本市,2025年,男,50歳～54歳,7
転入者数,熊本市,2025年,男,55歳～59歳,9
転入者数,熊本市,2025年,男,60歳～64歳,4
転入者数,熊本市,2025年,男,65歳～69歳,1
転入者数,熊本市,2025年,男,70歳～74歳,3
転入者数,熊本市,2025年,男,75歳～79歳,0
転入者数,熊本市,2025年,男,80歳～84歳,1
転入者数,熊本市,2025年,男,85歳～89歳,0
転入者数,熊本市,2025年,男,90歳以上,0
転入者数,熊本市,2025年,女,総数,661
転入者数,熊本市,2025年,女,0歳～4歳,8
転入者数,熊本市,2025年,女,5歳～9歳,4
転入者数,熊本市,2025年,女,10歳～14歳,3
転入者数,熊本市,2025年,女,15歳～19歳,64
転入者数,熊本市,2025年,女,20歳～24歳,213
転入者数,熊本市,2025年,女,25歳～29歳,164
転入者数,熊本市,2025年,女,30歳～34歳,96
転入者数,熊本市,2025年,女,35歳～39歳,43
転入者数,熊本市,2025年,女,40歳～44歳,30
転入者数,熊本市,2025年,女,45歳～49歳,14
転入者数,熊本市,2025年,女,50歳～54歳,14
転入者数,熊本市,2025年,女,55歳～59歳,5
転入者数,熊本市,2025年,女,60歳～64歳,0
転入者数,熊本市,2025年,女,65歳～69歳,1
転入者数,熊本市,2025年,女,70歳～74歳,0
転入者数,熊本市,2025年,女,75歳～79歳,1
転入者数,熊本市,2025年,女,80歳～84歳,0
転入者数,熊本市,2025年,女,85歳～89歳,1
転入者数,熊本市,2025年,女,90歳以上,0
転出者数,全国,2025年,総数,総数,2515731
転出者数,全国,2025年,総数,0歳～4歳,96544
転出者数,全国,2025年,総数,5歳～9歳,50804
転出者数,全国,2025年,総数,10歳～14歳,28027
転出者数,全国,2025年,総数,15歳～19歳,144152
転出者数,全国,2025年,総数,20歳～24歳,585495
転出者数,全国,2025年,総数,25歳～29歳,533880
転出者数,全国,2025年,総数,30歳～34歳,314556
転出者数,全国,2025年,総数,35歳～39歳,187145
転出者数,全国,2025年,総数,40歳～44歳,128157
転出者数,全国,2025年,総数,45歳～49歳,101429
