種別,都道府県,年次,性別,年齢階級,人数
転入者数,北海道,2025年,女,40歳～44歳,1223
転入者数,北海道,2025年,女,45歳～49歳,1024
転入者数,北海道,2025年,女,50歳～54歳,922
転入者数,北海道,2025年,女,55歳～59歳,746
転入者数,北海道,2025年,女,60歳～64歳,556
転入者数,北海道,2025年,女,65歳～69歳,375
転入者数,北海道,2025年,女,70歳～74歳,272
転入者数,北海道,2025年,女,75歳～79歳,242
転入者数,北海道,2025年,女,80歳～84歳,211
転入者数,北海道,2025年,女,85歳～89歳,156
転入者数,北海道,2025年,女,90歳以上,88
転入者数,青森県,2025年,総数,総数,15801
転入者数,青森県,2025年,総数,0歳～4歳,730
転入者数,青森県,2025年,総数,5歳～9歳,424
転入者数,青森県,2025年,総数,10歳～14歳,186
転入者数,青森県,2025年,総数,15歳～19歳,1237
転入者数,青森県,2025年,総数,20歳～24歳,3096
転入者数,青森県,2025年,総数,25歳～29歳,2579
転入者数,青森県,2025年,総数,30歳～34歳,1832
転入者数,青森県,2025年,総数,35歳～39歳,1259
転入者数,青森県,2025年,総数,40歳～44歳,933
転入者数,青森県,2025年,総数,45歳～49歳,810
転入者数,青森県,2025年,総数,50歳～54歳,805
転入者数,青森県,2025年,総数,55歳～59歳,611
転入者数,青森県,2025年,総数,60歳～64歳,488
転入者数,青森県,2025年,総数,65歳～69歳,303
転入者数,青森県,2025年,総数,70歳～74歳,195
転入者数,青森県,2025年,総数,75歳～79歳,155
転入者数,青森県,2025年,総数,80歳～84歳,78
転入者数,青森県,2025年,総数,85歳～89歳,42
転入者数,青森県,2025年,総数,90歳以上,38
転入者数,青森県,2025年,男,総数,9478
転入者数,青森県,2025年,男,0歳～4歳,371
転入者数,青森県,2025年,男,5歳～9歳,213
転入者数,青森県,2025年,男,10歳～14歳,102
転入者数,青森県,2025年,男,15歳～19歳,783
転入者数,青森県,2025年,男,20歳～24歳,1818
転入者数,青森県,2025年,男,25歳～29歳,1448
転入者数,青森県,2025年,男,30歳～34歳,1105
転入者数,青森県,2025年,男,35歳～39歳,781
転入者数,青森県,2025年,男,40歳～44歳,611
転入者数,青森県,2025年,男,45歳～49歳,551
転入者数,青森県,2025年,男,50歳～54歳,555
転入者数,青森県,2025年,男,55歳～59歳,407
転入者数,青森県,2025年,男,60歳～64歳,306
転入者数,青森県,2025年,男,65歳～69歳,198
転入者数,青森県,2025年,男,70歳～74歳,111
転入者数,青森県,2025年,男,75歳～79歳,76
転入者数,青森県,2025年,男,80歳～84歳,27
転入者数,青森県,2025年,男,85歳～89歳,11
転入者数,青森県,2025年,男,90歳以上,4
転入者数,青森県,2025年,女,総数,6323
転入者数,青森県,2025年,女,0歳～4歳,359
転入者数,青森県,2025年,女,5歳～9歳,211
転入者数,青森県,2025年,女,10歳～14歳,84
転入者数,青森県,2025年,女,15歳～19歳,454
転入者数,青森県,2025年,女,20歳～24歳,1278
転入者数,青森県,2025年,女,25歳～29歳,1131
転入者数,青森県,2025年,女,30歳～34歳,727
転入者数,青森県,2025年,女,35歳～39歳,478
転入者数,青森県,2025年,女,40歳～44歳,322
転入者数,青森県,2025年,女,45歳～49歳,259
転入者数,青森県,2025年,女,50歳～54歳,250
転入者数,青森県,2025年,女,55歳～59歳,204
転入者数,青森県,2025年,女,60歳～64歳,182
転入者数,青森県,2025年,女,65歳～69歳,105
転入者数,青森県,2025年,女,70歳～74歳,84
転入者数,青森県,2025年,女,75歳～79歳,79
転入者数,青森県,2025年,女,80歳～84歳,51
転入者数,青森県,2025年,女,85歳～89歳,31
転入者数,青森県,2025年,女,90歳以上,34
転入者数,岩手県,2025年,総数,総数,15835
転入者数,岩手県,2025年,総数,0歳～4歳,639
転入者数,岩手県,2025年,総数,5歳～9歳,372
転入者数,岩手県,2025年,総数,10歳～14歳,174
転入者数,岩手県,2025年,総数,15歳～19歳,1024
転入者数,岩手県,2025年,総数,20歳～24歳,3416
転入者数,岩手県,2025年,総数,25歳～29歳,2683
転入者数,岩手県,2025年,総数,30歳～34歳,1780
転入者数,岩手県,2025年,総数,35歳～39歳,1235
転入者数,岩手県,2025年,総数,40歳～44歳,989
転入者数,岩手県,2025年,総数,45歳～49歳,784
転入者数,岩手県,2025年,総数,50歳～54歳,782
転入者数,岩手県,2025年,総数,55歳～59歳,614
転入者数,岩手県,2025年,総数,60歳～64歳,440
転入者数,岩手県,2025年,総数,65歳～69歳,300
転入者数,岩手県,2025年,総数,70歳～74歳,210
転入者数,岩手県,2025年,総数,75歳～79歳,183
転入者数,岩手県,2025年,総数,80歳～84歳,88
転入者数,岩手県,2025年,総数,85歳～89歳,81
転入者数,岩手県,2025年,総数,90歳以上,41
転入者数,岩手県,2025年,男,総数,9449
転入者数,岩手県,2025年,男,0歳～4歳,302
転入者数,岩手県,2025年,男,5歳～9歳,182
転入者数,岩手県,2025年,男,10歳～14歳,89
転入者数,岩手県,2025年,男,15歳～19歳,643
転入者数,岩手県,2025年,男,20歳～24歳,2010
転入者数,岩手県,2025年,男,25歳～29歳,1553
転入者数,岩手県,2025年,男,30歳～34歳,1089
転入者数,岩手県,2025年,男,35歳～39歳,780
転入者数,岩手県,2025年,男,40歳～44歳,636
転入者数,岩手県,2025年,男,45歳～49歳,500
転入者数,岩手県,2025年,男,50歳～54歳,496
転入者数,岩手県,2025年,男,55歳～59歳,405
転入者数,岩手県,2025年,男,60歳～64歳,283
転入者数,岩手県,2025年,男,65歳～69歳,200
転入者数,岩手県,2025年,男,70歳～74歳,121
転入者数,岩手県,2025年,男,75歳～79歳,96
転入者数,岩手県,2025年,男,80歳～84歳,32
転入者数,岩手県,2025年,男,85歳～89歳,22
転入者数,岩手県,2025年,男,90歳以上,10
転入者数,岩手県,2025年,女,総数,6386
転入者数,岩手県,2025年,女,0歳～4歳,337
転入者数,岩手県,2025年,女,5歳～9歳,190
転入者数,岩手県,2025年,女,10歳～14歳,85
転入者数,岩手県,2025年,女,15歳～19歳,381
転入者数,岩手県,2025年,女,20歳～24歳,1406
転入者数,岩手県,2025年,女,25歳～29歳,1130
転入者数,岩手県,2025年,女,30歳～34歳,691
転入者数,岩手県,2025年,女,35歳～39歳,455
転入者数,岩手県,2025年,女,40歳～44歳,353
転入者数,岩手県,2025年,女,45歳～49歳,284
転入者数,岩手県,2025年,女,50歳～54歳,286
転入者数,岩手県,2025年,女,55歳～59歳,209
転入者数,岩手県,2025年,女,60歳～64歳,157
転入者数,岩手県,2025年,女,65歳～69歳,100
転入者数,岩手県,2025年,女,70歳～74歳,89
転入者数,岩手県,2025年,女,75歳～79歳,87
転入者数,岩手県,2025年,女,80歳～84歳,56
転入者数,岩手県,2025年,女,85歳～89歳,59
転入者数,岩手県,2025年,女,90歳以上,31
転入者数,宮城県,2025年,総数,総数,42841
転入者数,宮城県,2025年,総数,0歳～4歳,1748
転入者数,宮城県,2025年,総数,5歳～9歳,999
転入者数,宮城県,2025年,総数,10歳～14歳,525
転入者数,宮城県,2025年,総数,15歳～19歳,3720
転入者数,宮城県,2025年,総数,20歳～24歳,10141
転入者数,宮城県,2025年,総数,25歳～29歳,7427
転入者数,宮城県,2025年,総数,30歳～34歳,4585
転入者数,宮城県,2025年,総数,35歳～39歳,3139
転入者数,宮城県,2025年,総数,40歳～44歳,2405
転入者数,宮城県,2025年,総数,45歳～49歳,1935
転入者数,宮城県,2025年,総数,50歳～54歳,2035
転入者数,宮城県,2025年,総数,55歳～59歳,1462
転入者数,宮城県,2025年,総数,60歳～64歳,899
転入者数,宮城県,2025年,総数,65歳～69歳,515
転入者数,宮城県,2025年,総数,70歳～74歳,369
転入者数,宮城県,2025年,総数,75歳～79歳,309
転入者数,宮城県,2025年,総数,80歳～84歳,262
転入者数,宮城県,2025年,総数,85歳～89歳,213
転入者数,宮城県,2025年,総数,90歳以上,153
