"統計名：","住民基本台帳人口移動報告 年報（実数）"
"表番号：","1"
"表題：","男女別都道府県内移動者数，他都道府県からの転入者数及び他都道府県への転出者数－全国，都道府県，３大都市圏（東京圏，名古屋圏，大阪圏），21大都市（移動者，日本人移動者，外国人移動者）（2010年～）"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","調査していないため該当数値がないもの"
"-","定義上該当数値がないもの"

"","","","","","","","","","/表章項目 コード","01","01","01","02","02","02","03","03","03","04","04","04"
"","","","","","","","","","/表章項目 補助コード","-","-","-","-","-","-","-","-","-","-","-","-"
"","","","","","","","","","/表章項目","都道府県（自都市）内移動者数【人】","都道府県（自都市）内移動者数【人】","都道府県（自都市）内移動者数【人】","他都道府県（他市町村）からの転入者数【人】","他都道府県（他市町村）からの転入者数【人】","他都道府県（他市町村）からの転入者数【人】","他都道府県（他市町村）への転出者数【人】","他都道府県（他市町村）への転出者数【人】","他都道府県（他市町村）への転出者数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】"
"","","","","","","","","","/性別 コード","0","1","2","0","1","2","0","1","2","0","1","2"
"","","","","","","","","","/性別 補助コード","-","-","-","-","-","-","-","-","-","-","-","-"
"国籍 コード","国籍 補助コード","国籍","時間軸（年次） コード","時間軸（年次） 補助コード","時間軸（年次）","地域 コード","地域 補助コード","地域","/性別","総数","男","女","総数","男","女","総数","男","女","総数","男","女"
"60000","","移動者","2025000000","","2025年","26000","","京都府","","47,141","23,412","23,729","58,430","31,587","26,843","62,183","33,519","28,664","-3,753","-1,932","-1,821"
"60000","","移動者","2025000000","","2025年","27000","","大阪府","","250,657","127,476","123,181","184,232","99,065","85,167","168,565","93,812","74,753","15,667","5,253","10,414"
"60000","","移動者","2025000000","","2025年","28000","","兵庫県","","97,901","48,785","49,116","94,929","51,793","43,136","97,031","52,914","44,117","-2,102","-1,121","-981"
"60000","","移動者","2025000000","","2025年","29000","","奈良県","","14,688","7,325","7,363","23,893","12,415","11,478","24,963","13,218","11,745","-1,070","-803","-267"
"60000","","移動者","2025000000","","2025年","30000","","和歌山県","","9,592","4,900","4,692","11,485","6,448","5,037","14,298","7,607","6,691","-2,813","-1,159","-1,654"
"60000","","移動者","2025000000","","2025年","31000","","鳥取県","","5,378","2,709","2,669","7,781","4,424","3,357","9,809","5,366","4,443","-2,028","-942","-1,086"
"60000","","移動者","2025000000","","2025年","32000","","島根県","","6,656","3,643","3,013","10,419","5,975","4,444","12,140","6,791","5,349","-1,721","-816","-905"
"60000","","移動者","2025000000","","2025年","33000","","岡山県","","30,536","15,496","15,040","27,712","15,648","12,064","33,306","18,219","15,087","-5,594","-2,571","-3,023"
"60000","","移動者","2025000000","","2025年","34000","","広島県","","55,205","28,753","26,452","43,316","25,641","17,675","53,237","30,473","22,764","-9,921","-4,832","-5,089"
"60000","","移動者","2025000000","","2025年","35000","","山口県","","16,280","8,697","7,583","20,749","12,351","8,398","25,656","14,282","11,374","-4,907","-1,931","-2,976"
"60000","","移動者","2025000000","","2025年","36000","","徳島県","","9,463","4,785","4,678","9,155","5,281","3,874","11,602","6,435","5,167","-2,447","-1,154","-1,293"
"60000","","移動者","2025000000","","2025年","37000","","香川県","","10,844","5,638","5,206","16,048","9,223","6,825","18,286","10,273","8,013","-2,238","-1,050","-1,188"
"60000","","移動者","2025000000","","2025年","38000","","愛媛県","","15,952","8,284","7,668","16,400","9,723","6,677","22,094","12,187","9,907","-5,694","-2,464","-3,230"
"60000","","移動者","2025000000","","2025年","39000","","高知県","","9,608","5,020","4,588","8,129","4,658","3,471","11,046","6,078","4,968","-2,917","-1,420","-1,497"
"60000","","移動者","2025000000","","2025年","40000","","福岡県","","151,438","76,347","75,091","102,453","57,159","45,294","97,317","55,264","42,053","5,136","1,895","3,241"
"60000","","移動者","2025000000","","2025年","41000","","佐賀県","","9,822","4,843","4,979","15,834","8,900","6,934","16,985","9,230","7,755","-1,151","-330","-821"
"60000","","移動者","2025000000","","2025年","42000","","長崎県","","18,180","9,579","8,601","20,980","12,213","8,767","26,588","14,651","11,937","-5,608","-2,438","-3,170"
"60000","","移動者","2025000000","","2025年","43000","","熊本県","","41,298","20,643","20,655","28,923","16,521","12,402","31,256","17,279","13,977","-2,333","-758","-1,575"
"60000","","移動者","2025000000","","2025年","44000","","大分県","","13,568","6,863","6,705","19,302","11,469","7,833","22,274","12,355","9,919","-2,972","-886","-2,086"
"60000","","移動者","2025000000","","2025年","45000","","宮崎県","","13,976","7,126","6,850","17,063","9,631","7,432","20,087","10,850","9,237","-3,024","-1,219","-1,805"
"60000","","移動者","2025000000","","2025年","46000","","鹿児島県","","28,042","14,358","13,684","24,814","14,433","10,381","29,817","15,985","13,832","-5,003","-1,552","-3,451"
"60000","","移動者","2025000000","","2025年","47000","","沖縄県","","42,372","21,475","20,897","28,499","16,022","12,477","29,058","15,956","13,102","-559","66","-625"
