"tab_code","表章項目","area_code","都道府県","time_code","時間軸(年次)","unit","value"
"10040","出生数","00000","全国","2024000000","2024年","人","686173"
"10040","出生数","00000","全国","2023000000","2023年","人","727288"
"10040","出生数","00000","全国","2022000000","2022年","人","770759"
"10040","出生数","00000","全国","2021000000","2021年","人","811622"
"10040","出生数","00000","全国","2020000000","2020年","人","840835"
"10040","出生数","00000","全国","2019000000","2019年","人","865239"
"10040","出生数","00000","全国","2018000000","2018年","人","918400"
"10040","出生数","00000","全国","2017000000","2017年","人","946146"
"10040","出生数","00000","全国","2016000000","2016年","人","977242"
"10040","出生数","00000","全国","2015000000","2015年","人","1005721"
"10040","出生数","00000","全国","2014000000","2014年","人","1003609"
"10040","出生数","00000","全国","2013000000","2013年","人","1029817"
"10040","出生数","00000","全国","2010000000","2010年","人","1071305"
"10040","出生数","00000","全国","2005000000","2005年","人","1062530"
"10040","出生数","00000","全国","2000000000","2000年","人","1190547"
"10040","出生数","00000","全国","1995000000","1995年","人","1187064"
"10040","出生数","00000","全国","1990000000","1990年","人","1221585"
"10040","出生数","00000","全国","1985000000","1985年","人","1431577"
"10040","出生数","00000","全国","1980000000","1980年","人","1576889"
"10040","出生数","00000","全国","1975000000","1975年","人","1901440"
"10040","出生数","00000","全国","1970000000","1970年","人","1934239"
"10040","出生数","00000","全国","1965000000","1965年","人","1823697"
"10040","出生数","00000","全国","1960000000","1960年","人","1606041"
"10040","出生数","00000","全国","1955000000","1955年","人","1730692"
"10040","出生数","00000","全国","1950000000","1950年","人","2337507"
"10040","出生数","00000","全国","1947000000","1947年","人","2678792"
"10040","出生数","00000","全国","1935000000","1935年","人","2190704"
"10040","出生数","01000","北海道","2024000000","2024年","人","22658"
"10040","出生数","01000","北海道","2023000000","2023年","人","24430"
"10040","出生数","01000","北海道","2022000000","2022年","人","26407"
"10040","出生数","01000","北海道","2021000000","2021年","人","28762"
"10040","出生数","01000","北海道","2020000000","2020年","人","29523"
"10040","出生数","01000","北海道","2019000000","2019年","人","31020"
"10040","出生数","01000","北海道","2018000000","2018年","人","32642"
"10040","出生数","01000","北海道","2017000000","2017年","人","34058"
"10040","出生数","01000","北海道","2016000000","2016年","人","35129"
"10040","出生数","01000","北海道","2015000000","2015年","人","36696"
"10040","出生数","01000","北海道","2014000000","2014年","人","37058"
"10040","出生数","01000","北海道","2013000000","2013年","人","38190"
"10040","出生数","01000","北海道","2010000000","2010年","人","40158"
"10040","出生数","01000","北海道","2005000000","2005年","人","41420"
"10040","出生数","01000","北海道","2000000000","2000年","人","46780"
"10040","出生数","01000","北海道","1995000000","1995年","人","49950"
"10040","出生数","01000","北海道","1990000000","1990年","人","54428"
"10040","出生数","01000","北海道","1985000000","1985年","人","66413"
"10040","出生数","01000","北海道","1980000000","1980年","人","75526"
"10040","出生数","01000","北海道","1975000000","1975年","人","89631"
"10040","出生数","01000","北海道","1970000000","1970年","人","91867"
"10040","出生数","01000","北海道","1965000000","1965年","人","96666"
"10040","出生数","01000","北海道","1960000000","1960年","人","93852"
"10040","出生数","01000","北海道","1955000000","1955年","人","103678"
"10040","出生数","01000","北海道","1950000000","1950年","人","147055"
"10040","出生数","01000","北海道","1947000000","1947年","人","141577"
"10040","出生数","01000","北海道","1935000000","1935年","人","109941"
"10040","出生数","02000","青森県","2024000000","2024年","人","5099"
"10040","出生数","02000","青森県","2023000000","2023年","人","5696"
"10040","出生数","02000","青森県","2022000000","2022年","人","5985"
"10040","出生数","02000","青森県","2021000000","2021年","人","6513"
"10040","出生数","02000","青森県","2020000000","2020年","人","6837"
"10040","出生数","02000","青森県","2019000000","2019年","人","7170"
"10040","出生数","02000","青森県","2018000000","2018年","人","7803"
"10040","出生数","02000","青森県","2017000000","2017年","人","8035"
"10040","出生数","02000","青森県","2016000000","2016年","人","8626"
"10040","出生数","02000","青森県","2015000000","2015年","人","8621"
"10040","出生数","02000","青森県","2014000000","2014年","人","8853"
"10040","出生数","02000","青森県","2013000000","2013年","人","9126"
"10040","出生数","02000","青森県","2010000000","2010年","人","9712"
"10040","出生数","02000","青森県","2005000000","2005年","人","10524"
"10040","出生数","02000","青森県","2000000000","2000年","人","12920"
"10040","出生数","02000","青森県","1995000000","1995年","人","13972"
"10040","出生数","02000","青森県","1990000000","1990年","人","14635"
"10040","出生数","02000","青森県","1985000000","1985年","人","19095"
"10040","出生数","02000","青森県","1980000000","1980年","人","21761"
"10040","出生数","02000","青森県","1975000000","1975年","人","24031"
"10040","出生数","02000","青森県","1970000000","1970年","人","26369"
"10040","出生数","02000","青森県","1965000000","1965年","人","28204"
"10040","出生数","02000","青森県","1960000000","1960年","人","29881"
"10040","出生数","02000","青森県","1955000000","1955年","人","35219"
"10040","出生数","02000","青森県","1950000000","1950年","人","46137"
"10040","出生数","02000","青森県","1947000000","1947年","人","48997"
"10040","出生数","02000","青森県","1935000000","1935年","人","41046"
"10040","出生数","03000","岩手県","2024000000","2024年","人","4896"
